Time,200-A-Real,200-B-Real,200-C-Real,200-A-Reactive,200-B-Reactive,200-C-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
Time,Refrigerator Real,Microwave-Real,Phone charger Real,Refrigerator Reactive,Microwave-Reactive,Phone charger Reactive,Dishwasher-Real,Disposal-Real,Laptop Charging-Real,Dishwasher-Reactive,Disposal-Reactive,Laptop Charging -Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 15:32:13.239794,106.8715668,567.6747437,0,0,1633.183594,-0.503769815,0,0,44.41374969,0,0,-15.45244598,"
",,,,,
 15:32:14.323989,98.5327301,567.340332,0,0,1633.141235,-0.635026336,0,0,44.81367493,0,0,-16.56583023,"
",,,,,
 15:32:15.406854,89.96282959,568.2600708,0,0,1633.310791,-0.501644254,0,0,44.26933289,0,0,-16.56583214,"
",,,,,
 15:32:16.489918,86.68611145,568.2809448,0,0,1631.279053,-0.519180477,0,0,44.32488251,0,0,-15.59864807,"
",,,,,
 15:32:17.573283,86.89616394,571.5420532,0,0,1629.120361,-0.531934142,0,0,44.80257034,0,0,-16.58832359,"
",,,,,
 15:32:18.656196,87.06419373,573.6324463,0,0,1628.041138,-0.400677681,0,0,44.3693161,0,0,-15.55366325,"
",,,,,
 15:32:19.739272,87.23223877,573.4234619,0,0,1627.025391,-0.530339956,0,0,44.99142075,0,0,-16.29591942,"
",,,,,
 15:32:20.822473,87.12721252,573.7788086,0.348017812,0,1626.326904,-0.528214335,0,0,44.4470787,0,0,-15.40746021,"
",,,,,
 15:32:21.905651,87.12721252,572.0855713,0.911775231,0,1627.088623,-0.575509191,0,0,44.90254974,0,0,-16.20594788,"
",,,,,
 15:32:22.988209,87.1062088,572.2737427,1.555319428,0,1627.723633,-0.597296655,0,0,44.42486191,-2.836504221,0,-15.27250385,"
",,,,,
 15:32:24.72552,87.00118256,571.0612793,2.113827705,0,1627.956299,-0.781162024,-3.739415646,0,44.76923752,-15.10984039,0,-16.34090424,"
",,,,,
 15:32:25.156307,86.79114532,572.1065063,2.774169207,0,1627.342651,-0.804012299,-3.739415646,0,44.16935349,-26.84860611,0,-15.57615471,"
",,,,,
 15:32:26.239256,86.91716766,571.8555908,2.977835655,0,1627.723633,-0.86618644,-7.468054771,0,44.71369553,-39.28558731,0,-16.49835396,"
",,,,,
 15:32:27.322412,87.02219391,573.5906372,3.064446449,0,1625.967041,-0.84280479,-7.468054771,0,44.2804451,-50.60978317,0,-15.68861961,"
",,,,,
 15:32:28.405304,87.1692276,573.4442749,2.988333941,0,1625.099365,-0.86618644,-10.87340164,0,44.78034973,-59.25020599,0,-15.68861866,"
",,,,,
 15:32:29.490706,87.08521271,573.6534424,3.077044249,0,1623.215942,-0.869906247,-10.78719044,0,44.81367493,-59.81751251,0,-16.53209305,"
",,,,,
 15:32:30.573705,87.23223114,572.6499023,3.068645954,0,1621.332397,-0.832708061,-7.058550835,48.03185272,44.23600769,-59.11929321,17.86063194,-15.65487957,"
",,,,,
 15:32:31.657011,87.27424622,571.3121338,2.96996212,0,1621.798096,-0.880002976,-10.57166195,75.24284363,44.71369553,-60.06843185,27.75059128,-16.52084732,"
",,,,,
 15:32:32.739985,87.25325012,572.1064453,3.051323652,0,1620.570679,-0.861935258,-7.166315556,101.0598297,44.11381149,-59.14111328,36.96315384,-15.68861675,"
",,,,,
