Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:47:11.770196,67.2370224,72.9360733,-274.2487183,52.94987106,0,0,0,0,0,0,"
",,,,,
 14:47:12.857769,71.73265076,76.64585876,-281.863678,51.072052,0,0,0,0,0,0,"
",,,,,
 14:47:13.943206,72.80722046,76.98935699,-283.5953674,50.28383255,0,0,0,0,0,0,"
",,,,,
 14:47:15.24703,72.6975708,76.82905579,-283.5065613,51.11841583,0,0,0,0,0,0,"
",,,,,
 14:47:16.94044,72.54405975,76.82905579,-283.1957397,49.93608856,0,0,0,0,0,0,"
",,,,,
 14:47:17.175294,72.60984802,76.66876221,-283.1735229,50.86340332,0,0,0,0,0,0,"
",,,,,
 14:47:18.254322,72.47827148,76.82905579,-283.0181274,50.02881622,0,0,0,0,0,0,"
",,,,,
 14:47:19.341723,72.60984802,76.73745728,-283.0181274,50.9329567,0,0,0,0,0,0,"
",,,,,
 14:47:20.414666,72.58792114,76.73744965,-282.7073364,49.82017517,0,0,0,0,0,0,"
",,,,,
 14:47:21.490738,72.58792114,76.60005951,-282.907135,50.93295288,0,0,0,0,0,0,"
",,,,,
 14:47:22.577795,72.74143219,76.46266174,-282.9293518,50.90977097,0,0,0,0,0,0,"
",,,,,
 14:47:23.663992,72.65370941,76.43976593,-282.907135,49.88972092,0,0,0,0,0,0,"
",,,,,
 14:47:24.739401,72.87300873,76.4397583,-283.1291504,50.97932053,0,0,0,0,0,0,"
",,,,,
 14:47:25.810733,73.0045929,76.55426025,-283.1291199,49.95927048,0,0,0,0,0,0,"
",,,,,
 14:47:26.896292,73.13616943,76.48555756,-283.3511353,50.97932053,0,0,0,0,0,0,"
",,,,,
 14:47:27.980075,73.13616943,76.78325653,-283.5509644,50.05200577,0,0,0,0,0,0,"
",,,,,
 14:47:29.52499,69.16686249,76.508461,-276.4022522,50.9329567,0,0,0,0,0,0,"
",,,,,
 14:47:30.142630,64.95632172,76.3710556,-268.8539124,50.09836578,0,0,0,0,0,0,"
",,,,,
 14:47:31.217515,60.81157303,76.16496277,-261.616394,50.97932053,0,0,0,0,0,0,"
",,,,,
 14:47:32.288208,56.64489746,76.05046082,-254.0680695,49.95926666,0,0,0,0,0,0,"
",,,,,
 14:47:33.374135,52.45628738,75.52376556,-246.8083191,50.70111847,0,0,0,0,0,0,"
",,,,,
 14:47:34.454531,52.52207565,75.66116333,-246.7417297,49.86653519,0,0,0,0,0,0,"
",,,,,
 14:47:35.530387,52.63172531,75.68406677,-246.7639465,49.84335327,0,0,0,0,0,0,"
",,,,,
 14:47:36.614463,52.69750977,77.42445374,-247.052536,53.4598999,0,0,0,0,0,0,"
",,,,,
 14:47:37.701882,52.82909393,78.31754303,-246.8527374,53.59899139,0,0,0,0,0,0,"
",,,,,
 14:47:38.779797,52.76330566,37.46418381,-246.6973114,128.0858154,0,0,0,0,0,0,"
",,,,,
 14:47:39.853565,52.85102463,-68.0355072,-246.5863037,270.8001099,0,0,0,0,0,0,"
",,,,,
 14:47:40.940843,52.93874359,-34.25819778,-246.7195129,518.6723022,0,0,0,0,0,0,"
",,,,,
 14:47:42.21871,53.13611603,96.36265564,-246.3865051,820.630249,0,0,0,0,0,0,"
",,,,,
